Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
"C1","1u","C_0402_1005Metric",126.400000,-41.650000,90.000000,top
"C2","1u","C_0402_1005Metric",124.150000,-49.619314,0.000000,top
"C3","1u","C_0402_1005Metric",138.950000,-46.750000,0.000000,top
"C4","1u","C_0402_1005Metric",133.370000,-46.270000,90.000000,top
"R6","5.1k","R_0402_1005Metric",142.500000,-34.700000,180.000000,top
"R7","5.1k","R_0402_1005Metric",146.550000,-35.150000,-90.000000,top
"SW19","SW_Push","C318884",132.500000,-33.000000,-90.000000,top
"U1","ATSAMD21E18A-M","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias",126.085000,-45.869314,0.000000,top
"U2","TLV73333PDBV","SOT-23-5",136.000000,-45.800000,0.000000,top
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",145.000000,-30.184000,180.000000,top
